BACKPROPAGATION LEARNING ALGORITHM
Enter the number of input units:
2
Enter the number of hidden units:
2
Enter the number of output units:
1
Enter the learning rate:
0.9
Enter the maximum number of training epochs:
10000
Enter the SSE stopping criterion:
0.001
Enter the training set file name:
/home/noelle/Classes/2012-2013/Fall/CSE175/Programs/PA4/TestCases/Linux/xor.dat
Enter the testing set file name:
/home/noelle/Classes/2012-2013/Fall/CSE175/Programs/PA4/TestCases/Linux/xor.dat
Epoch 2920:  SSE = 0.0017030753854695982.
Epoch 2930:  SSE = 0.001693173143146601.
Epoch 2940:  SSE = 0.0016833821248343948.
Epoch 2950:  SSE = 0.0016737004934328978.
Epoch 2960:  SSE = 0.001664126451719906.
Epoch 2970:  SSE = 0.001654658241281753.
Epoch 2980:  SSE = 0.0016452941414778995.
Epoch 2990:  SSE = 0.001636032468438467.
Epoch 3000:  SSE = 0.0016268715740932744.
Epoch 3010:  SSE = 0.0016178098452314532.
Epoch 3020:  SSE = 0.0016088457025902577.
Epoch 3030:  SSE = 0.0015999775999723034.
Epoch 3040:  SSE = 0.0015912040233900214.
Epoch 3050:  SSE = 0.0015825234902364105.
Epoch 3060:  SSE = 0.001573934548481205.
Epoch 3070:  SSE = 0.0015654357758914292.
Epoch 3080:  SSE = 0.0015570257792756575.
Epoch 3090:  SSE = 0.0015487031937509868.
Epoch 3100:  SSE = 0.0015404666820320071.
Epoch 3110:  SSE = 0.0015323149337410297.
Epoch 3120:  SSE = 0.0015242466647387696.
Epoch 3130:  SSE = 0.0015162606164748423.
Epoch 3140:  SSE = 0.0015083555553573442.
Epoch 3150:  SSE = 0.0015005302721409547.
Epoch 3160:  SSE = 0.0014927835813327269.
Epoch 3170:  SSE = 0.0014851143206153416.
Epoch 3180:  SSE = 0.001477521350286792.
Epoch 3190:  SSE = 0.0014700035527163051.
Epoch 3200:  SSE = 0.0014625598318157825.
Epoch 3210:  SSE = 0.0014551891125262864.
Epoch 3220:  SSE = 0.0014478903403190874.
Epoch 3230:  SSE = 0.001440662480710792.
Epoch 3240:  SSE = 0.0014335045187920852.
Epoch 3250:  SSE = 0.0014264154587696153.
Epoch 3260:  SSE = 0.0014193943235206814.
Epoch 3270:  SSE = 0.00141244015416024.
Epoch 3280:  SSE = 0.0014055520096197959.
Epoch 3290:  SSE = 0.0013987289662379617.
Epoch 3300:  SSE = 0.0013919701173621293.
Epoch 3310:  SSE = 0.001385274572960967.
Epoch 3320:  SSE = 0.0013786414592475088.
Epoch 3330:  SSE = 0.001372069918312297.
Epoch 3340:  SSE = 0.0013655591077664933.
Epoch 3350:  SSE = 0.0013591082003944301.
Epoch 3360:  SSE = 0.0013527163838154554.
Epoch 3370:  SSE = 0.0013463828601547492.
Epoch 3380:  SSE = 0.001340106845722851.
Epoch 3390:  SSE = 0.0013338875707035493.
Epoch 3400:  SSE = 0.0013277242788499672.
Epoch 3410:  SSE = 0.0013216162271886033.
Epoch 3420:  SSE = 0.001315562685731002.
Epoch 3430:  SSE = 0.0013095629371928845.
Epoch 3440:  SSE = 0.001303616276720554.
Epoch 3450:  SSE = 0.0012977220116242444.
Epoch 3460:  SSE = 0.0012918794611183188.
Epoch 3470:  SSE = 0.0012860879560680602.
Epoch 3480:  SSE = 0.001280346838742859.
Epoch 3490:  SSE = 0.0012746554625756416.
Epoch 3500:  SSE = 0.0012690131919283346.
Epoch 3510:  SSE = 0.0012634194018631608.
Epoch 3520:  SSE = 0.0012578734779196885.
Epoch 3530:  SSE = 0.00125237481589733.
Epoch 3540:  SSE = 0.001246922821643317.
Epoch 3550:  SSE = 0.0012415169108457936.
Epoch 3560:  SSE = 0.0012361565088320208.
Epoch 3570:  SSE = 0.0012308410503715423.
Epoch 3580:  SSE = 0.0012255699794840255.
Epoch 3590:  SSE = 0.0012203427492519224.
Epoch 3600:  SSE = 0.001215158821637469.
Epoch 3610:  SSE = 0.001210017667304187.
Epoch 3620:  SSE = 0.0012049187654426927.
Epoch 3630:  SSE = 0.001199861603600514.
Epoch 3640:  SSE = 0.0011948456775160991.
Epoch 3650:  SSE = 0.001189870490956654.
Epoch 3660:  SSE = 0.0011849355555598434.
Epoch 3670:  SSE = 0.0011800403906792234.
Epoch 3680:  SSE = 0.0011751845232332336.
Epoch 3690:  SSE = 0.001170367487557726.
Epoch 3700:  SSE = 0.001165588825261992.
Epoch 3710:  SSE = 0.001160848085087963.
Epoch 3720:  SSE = 0.0011561448227728232.
Epoch 3730:  SSE = 0.0011514786009146475.
Epoch 3740:  SSE = 0.001146848988841197.
Epoch 3750:  SSE = 0.0011422555624816162.
Epoch 3760:  SSE = 0.0011376979042411516.
Epoch 3770:  SSE = 0.0011331756028785949.
Epoch 3780:  SSE = 0.0011286882533865512.
Epoch 3790:  SSE = 0.0011242354568743883.
Epoch 3800:  SSE = 0.0011198168204537811.
Epoch 3810:  SSE = 0.0011154319571268028.
Epoch 3820:  SSE = 0.001111080485676557.
Epoch 3830:  SSE = 0.0011067620305601363.
Epoch 3840:  SSE = 0.0011024762218040413.
Epoch 3850:  SSE = 0.0010982226949018009.
Epoch 3860:  SSE = 0.0010940010907139201.
Epoch 3870:  SSE = 0.0010898110553699326.
Epoch 3880:  SSE = 0.0010856522401726393.
Epoch 3890:  SSE = 0.001081524301504388.
Epoch 3900:  SSE = 0.0010774269007353776.
Epoch 3910:  SSE = 0.0010733597041339695.
Epoch 3920:  SSE = 0.0010693223827788535.
Epoch 3930:  SSE = 0.0010653146124731641.
Epoch 3940:  SSE = 0.0010613360736603456.
Epoch 3950:  SSE = 0.001057386451341898.
Epoch 3960:  SSE = 0.0010534654349967463.
Epoch 3970:  SSE = 0.0010495727185024283.
Epoch 3980:  SSE = 0.0010457080000577973.
Epoch 3990:  SSE = 0.0010418709821075037.
Epoch 4000:  SSE = 0.0010380613712679147.
Epoch 4010:  SSE = 0.0010342788782546342.
Epoch 4020:  SSE = 0.0010305232178115067.
Epoch 4030:  SSE = 0.0010267941086411097.
Epoch 4040:  SSE = 0.0010230912733366466.
